ISIN,Name_197,Name-EOD,fuzz_socre1,check-EOD
JP3108120001,ACRODEA INC,Why How Do Co Inc,50,0
LU1250154413,ADO PROPERTIES SA,Adler Group SA,58,0
US0077371096,AEROCENTURY CORP,Mega Matrix Corp,25,0
US0185811082,ALLIANCE DATA SYSTEMS CORP,Bread Financial Holdings Inc,26,0
US0259321042,AMERICAN FINANCIAL GROUP INC,Aquatic Foods Group plc,51,0
IL0010806136,ANALYST I.M.S.,Analyst IMS Investment Management Services Ltd,44,1
AU000000ABX3,AUSTRALIAN BAUXITE LTD,ABx Group Ltd,34,1
JP3394900009,AUTONOMOUS CONTROL SYSTEMS L,ACSL Ltd,33,1
US05464C1018,AXON ENTERPRISE INC,Axovant Sciences Ltd,46,0
JP3160770008,AZIA CO LTD,Wow World Inc,33,0
IL0011016669,BABYLON LTD,Abra Information Technologies Ltd,36,0
AU000000BAP9,BAPCOR LTD,Burson Group Ltd,46,0
RU000A0HL5M1,BELUGA,Beluga Group PAO,55,1
CNE0000005N4,BESTTONE HOLDINGS CO LTD-A,New Guomai Digital Culture Co Ltd,37,0
US09074B1070,BIOHITECH GLOBAL INC,Renovare Environmental Inc,39,0
US1143401024,BROOKS AUTOMATION INC,Azenta Inc,45,0
CA05606A1049,BWR EXPLORATION INC,Black Widow Resources Inc,32,1
US1270971039,CABOT OIL & GAS CORP,Coterra Energy Inc,28,0
BMG202981087,CGN NEW ENERGY HOLDINGS CO L,CGN Meiya Power Hldg Co Ltd,36,1
CNE100000KC0,CHINA NATIONAL CHEMICAL-A,China Natl Chem Engineering Co,55,1
IL0004560129,CHIRON REFINERIES LTD,Upsellon Brands Holdings Ltd,41,0
US1890541097,CLOROX CO,CLX Communications AB,40,0
BE0160342011,COIL,Coil S.A./N.V,50,1
SE0012313302,CONFIDENCE INTERNATIONAL-B,Nordic LEVEL Group AB,13,0
JP3236100008,CREA HOLDINGS INC,Small and medium Sized Enterprises Holdings Inc,47,0
US2289031005,CRYOLIFE INC,Artivion Inc,50,0
GB00B1722W11,DART GROUP PLC,Jet2 PLC,45,0
IT0005203622,DOMINION HOSTING HOLDING SPA,DHH SpA,40,1
KYG539641053,EEKA FASHION HOLDINGS LTD,Koradior Holdings Ltd,52,0
GB0003085445,ELECTRA PRIVATE EQUITY PLC,Unbound Group PLC,33,0
FR0010490920,EUROPACORP,Total Gabon,19,0
US30303M1027,FACEBOOK INC,"Meta Platforms, Inc.",20,1
US33734X3098,FIRST TRUST NASDAQ GLOBAL AU,First Trust S-Network Future Vehicles & Technology ETF,38,1
JP3386460004,GENE TECHNO SCIENCE CO LTD,Kidswell Bio Corporation,20,0
CA38501D8089,GRAN COLOMBIA GOLD CORP,GCM Mining Corp,42,0
GB00BYRH4982,GRESHAM HOUSE STRATEGIC PLC,Rockwood Realisation PLC,35,0
FR0011038348,GROUPE ACTIPLAY,Klarsen SA,24,0
CA39986E1051,GROWMAX RESOURCES CORP,Coloured Ties Capital Inc,34,0
IM00B5VQMV65,GVC HOLDINGS PLC.,Entain PLC,46,0
KYG4488W1050,HIFOOD GROUP HOLDINGS CO LTD,KTL Intl Hldg Grp Ltd,53,0
CNE100001YQ9,HUATAI SECURITIES CO LTD-H,Zuoli Kechuang Micro-Fin Co,42,0
JP3142450000,IDEA INTERNATIONAL CO LTD,Bruno Inc,24,0
AU0000046005,INVESTEC AUSTRALIA PROPERTY,Irongate Group Unit,35,0
US48123V1026,J2 GLOBAL INC,Ziff Davis Inc,44,0
JP3710700000,JAPAN THIRD PARTY CO LTD,JTP Co Ltd,53,1
JP3385950005,JC COMSA CORP,Delsole Corp,40,0
NZKMDE0001S3,KATHMANDU HOLDINGS LTD,KMD Brands Ltd,56,1
JP3226700007,KAWANISHI HOLDINGS INC,OLBA Healthcare Holdings Inc,56,0
US5207761058,LAWSON PRODUCTS INC,Distribution Solutions Group Inc,31,0
JP3980300002,LEGS CO LTD,CL Holdings Inc,46,0
US5290431015,LEXINGTON REALTY TRUST,LXP Industrial Trust,57,0
US53261M1045,LIMELIGHT NETWORKS INC,Edgio Inc,19,0
US55003T1079,LUMBER LIQUIDATORS HOLDINGS,LL Flooring Holdings Inc,47,0
IL0004730177,LUZON GROUP,Amos Luzon Development and Energy Group Ltd,41,1
IL0011316978,MATOMY MEDIA GROUP LTD,Automax Motors Ltd,45,0
JP3869010003,MATSUMOTOKIYOSHI HOLDINGS CO,MatsukiyoCocokara & Co,50,1
AU000000MXI3,MAXITRANS INDUSTRIES LIMITED,Maxiparts Ltd,44,0
IL0010826191,MER TELEMANAGEMENT SOLUTIONS,Sharplink Gaming Ltd,25,0
JP3822000000,MIRACA HOLDINGS INC,Hu Group Holdings Ord Shs,50,0
JP3754200008,NIHON UNISYS LTD,Biprogy Inc,15,0
JP3723000000,NIPPON FLOUR MILLS CO LTD,Nippn Corp,51,1
IL0010845571,NOVA MEASURING INSTRUMENTS,Nova Ltd,35,1
JP3781520006,PADO CORP,Success Holders Inc,14,0
JP3780150003,PARTNER AGENT INC,Tameny Inc,44,0
PLPKO0000016,PKO BANK POLSKI SA,Powszechna Kasa Oszczednosci Bank Polski SA,56,1
US75605Y1064,REALOGY HOLDINGS CORP,Anywhere Real Estate Inc,40,0
GB00B7T77214,ROYAL BANK OF SCOTLAND GROUP,NatWest Group PLC,40,0
FR0006239109,SCBSM,Soc Centrale Bois Scieries Manche SA,15,1
US80874P1093,SCIENTIFIC GAMES CORP,Light & Wonder Inc,16,0
CA8106471078,SCOZINC MINING LTD,EDM Resources Inc,29,0
JP3347010005,SEEDHEIWA CO LTD,Meldia Development & Construction CO LTD,41,0
CNE000000C17,SHANGHAI LANSHENG CORP-A,DLG Exhibitions & Events Corp Ltd,33,0
IL0003410169,SHEFA YAMIM,Nala Digital Commerce Ltd,22,0
JP3373200009,SHINKO WIRE CO LTD,Kobelco Wire Co Ltd,59,0
GB00BF1BK408,SOLO OIL PLC,Scirocco Energy PLC,52,0
VGG826421023,SOMOTO LTD,Nostromo Energy Ltd,55,0
GB00B4X3Q493,STERLING ENERGY PLC,Afentra PLC,47,0
GB00B03HDJ73,STOBART GROUP LTD,Esken Ltd,31,0
KYG857AT1018,SUN INTERNATIONAL GROUP LTD,Imperium Financial Group Ltd,51,0
JP3397150008,SUSHIRO GLOBAL HOLDINGS LTD,Food & Life Companies Ltd,24,0
JP3588600001,TOKYO BROADCASTING SYSTEM,TBS Holdings Inc,39,1
PLGPW0000017,WARSAW STOCK EXCHANGE,Gielda Papierow Wartosciowych w Warszawie SA,37,0
CNE000000024,WUHAN DEPARTMENT STORE GRP-A,Wushang Group Co Ltd,50,0
AU0000001ST0,1ST GROUP LTD,1stAvailable Ltd,48,1
US00181T1079,A-MARK PRECIOUS METALS INC,Amark Preci,59,1
US00724F1012,ADOBE INC,Adobe Systems Incorporated,51,1
FR0010340141,ADP,Aeroports de Paris SA,25,1
US00766T1007,AECOM,Aecom Technology Corporation,30,0
JP3105250009,AIN HOLDINGS INC,Ain Pharmaciez Inc,41,1
IL0010996549,ALLOT LTD,Allot Communications Ltd,55,1
US02208R1068,ALTRA INDUSTRIAL MOTION CORP,Altra Holdings Inc,43,1
US02263T1043,AMADEUS IT GROUP-UNSP ADR,Amadeus IT Holding SA PK,57,1
US03209R1032,AMPHASTAR PHARMACEUTICALS IN,Amphastar P,56,1
CA03464C1068,ANFIELD ENERGY INC,Anfield Resources Inc,56,1
US04029E1082,ARGUS WORLDWIDE CORP,Vid3g Inc,21,0
CA04045U1021,ARITZIA INC-SUBORDINATE VOTI,Aritzia Inc,56,1
US04300F1057,ARTEC GLOBAL MEDIA INC,Artec Consulting Corp,47,1
ZAE000029757,ASTRAL FOODS LTD,Astral,55,1
AU000000ATP1,ATLAS PEARLS LTD,Atlas Pearls and Perfumes,59,1
US05154M2035,AUREUS INC,Hohme Inc,53,0
SE0000382335,AUTOLIV INC-SWED DEP RECEIPT,Autoliv Inc,56,1
KYG2947D1060,AUX INTERNATIONAL HOLDING LT,Magnum Entertainment Group Hld,24,0
JP3160950006,AVEX INC,Avex Group Holdings Inc,52,1
US05989W1036,BANGI INC,Compass Biotechnologies Inc,44,0
US69366X1000,BANK RAKYAT INDONESIA-UN ADR,Bank Rakyat,56,1
US06670N1054,BANPU PUBLIC CO L-UNSPON ADR,Banpu PCL ADR,59,1
DE0005168108,BAUER AG,BAUER Aktiengesellschaft,50,1
GB00BZ0X8W18,BEEKS FINANCIAL CLOUD GROUP,Beeks Trading Corporation Ltd,46,1
CH0315966322,BELL FOOD GROUP AG - REG,Bell AG,48,1
CA09629N1015,BLUERUSH INC,BLUERUSH Media Group Corp,54,1
US0976761009,BOLLINGER INDUSTRIES INC,Alliance Sports Group L.P,41,0
IL0005360115,BRAND INDUSTRIES LTD,Brand Group (M.G) Ltd,56,1
US1096961040,BRINK'S CO/THE,Brinks Company,57,1
CA05577W2004,BRP INC/CA- SUB VOTING,BRP Inc,50,1
US0556453035,BRT APARTMENTS CORP,BRT Realty Trust,29,1
CNE000000S50,CAISSA TOSUN DEVELOPMENT-A,Hna-Caissa Travel Group Co Ltd,39,1
CA12989J1084,CALIAN GROUP LTD,Calian Technologies Ltd,51,1
